approved_symbol,alias,identifier_location,paper_count,PMIDs
BRCA2,BRCA2,paragraph,207,"15756275, 16563180, 16622469, 17018160, 17378937, 17561994, 17603881, 17640379, 17767707, 17972177, 18489799, 18597679, 19329713, 19491894, 19619314, 19949876, 20223009, 20233466, 20233467, 20380699, 20455026, 21559243, 21603858, 21850262, 21939546, 21989022, 22160602, 22185575, 22632462, 22967011, 23170979, 23199084, 23354980, 23448497, 23451180, 23683081, 23840564, 24159334, 24281179, 24307375, 24637666, 24884479, 25382762, 25428789, 25683334, 25802882, 25927356, 26183948, 26365338, 26436109, 26465663, 26727311, 26740942, 26852130, 26913838, 26997744, 27042257, 27223485, 27242959, 27303907, 27603373, 27652277, 27694308, 27767231, 27896289, 28222693, 28339459, 28717660, 28717669, 28814288, 28982360, 28985766, 29088781, 29165356, 29368626, 29460995, 29681614, 29707112, 29736259, 29750258, 29755871, 29774201, 29868112, 29881398, 29909963, 30075112, 30410870, 30441849, 30450770, 30555256, 30584990, 30646163, 30657534, 30696104, 30724488, 30832263, 30940775, 30947698, 31013702, 31125106, 31131559, 31191615, 31341521, 31372034, 31390031, 31539077, 31569370, 31580391, 31589614, 31642931, 31650727, 31741787, 31782247, 31782267, 31867841, 31897316, 31968594, 32269964, 32453342, 32609349, 32609350, 32612807, 32633764, 32686918, 32856862, 32884827, 32886433, 32959997, 33053768, 33112397, 33118316, 33119106, 33151316, 33159495, 33273034, 33304851, 33333735, 33401422, 33403820, 33508233, 33609447, 33630025, 33726785, 33743207, 33890992, 33961040, 33987625, 34026625, 34028551, 34072659, 34250511, 34251444, 34276234, 34317694, 34350294, 34635660, 34898566, 34926254, 34962562, 35023322, 35029663, 35146455, 35262624, 35300142, 35332707, 35493704, 35512711, 35608067, 35736817, 35912641, 36139699, 36203093, 36206742, 36230512, 36262335, 36454573, 36827971, 37025588, 37147448, 37168384, 37188824, 37232349, 37958491, 38252441, 38334999, 38353949, 38916888, 39056403, 39073818, 39126233, 39438716, 39669235, 39745704, 39799398, 39804645, 39854808, 39884281, 39902189, 39907309, 40009379, 40088892, 40628270, 40694193, 40967221, 41217970, 41230741, 41931296"
BRCA2,BRCA2,table,9,"24612714, 29434467, 29909963, 30206342, 32903519, 34254584, 35204562, 35406801, 39053449"
BRCA2,BRCA2,table_foot,3,"27907908, 33649982, 38355628"
BTD,BTD,paragraph,10,"23550138, 33452876, 33595124, 35265569, 36007526, 37523181, 39669627, 40088892, 40684348, 41000626"
CACNA1S,CACNA1S,paragraph,11,"21189962, 25430699, 26247046, 30827497, 33767344, 35763354, 36753304, 36900039, 37822150, 40628270, 41175864"
CACNA1S,CACNA1S,table,3,"33567613, 36246642, 39104734"
CALM1,CALM1,paragraph,9,"24927284, 27693231, 30287853, 31482657, 32801999, 34551312, 35854365, 36269083, 39669627"
CALM1,CALM1,table,5,"26636579, 32053711, 32745639, 34576033, 34818353"
CALM2,CALM2,paragraph,4,"31482657, 33711044, 35854365, 36269083"
CALM2,CALM2,table,1,24718460
CALM3,CALM3,paragraph,3,"31482657, 35854365, 36269083"
CALM3,CALM3,table,1,40317362
CASQ2,CASQ2,paragraph,4,"31482657, 34760628, 39669627, 40088892"
CASQ2,CASQ2,table,7,"23396983, 33881176, 34722422, 38094680, 38957810, 39410589, 39496796"
COL3A1,COL3A1,fig_caption,1,37208356
COL3A1,COL3A1,paragraph,10,"34498425, 35128805, 36262204, 37461200, 38234087, 38369754, 38623759, 40118890, 40500346, 41233777"
COL3A1,COL3A1,table,4,"33543230, 36331719, 37208356, 40710358"
COL3A1,COL3A1,title_3,1,40080703
DES,DES,fig_caption,1,36163341
DES,DES,paragraph,6,"36774376, 38358893, 39669627, 40286359, 40574817, 41880120"
DES,DES,table,3,"35095530, 38610600, 38957810"
DSC2,DSC2,paragraph,9,"30985088, 31397097, 31464081, 33380778, 33784018, 34393635, 37273868, 40359643, 41000626"
DSC2,DSC2,table,4,"19934259, 35877578, 38610600, 39669589"
DSG2,DSG2,paragraph,8,"30985088, 33338875, 33784018, 39107343, 39595119, 40136534, 40359643, 40383838"
DSG2,DSG2,table,3,"34408849, 34722422, 38610600"
DSP,DSP,paragraph,16,"28069640, 30985088, 31397097, 32013205, 33784018, 35200700, 35455041, 36204818, 37143080, 37652022, 38473809, 39630431, 39669619, 40136534, 40359643, 41000626"
DSP,DSP,table,8,"23396983, 25965996, 33931637, 34722422, 37373632, 38610600, 40527520, 40709507"
