approved_symbol,alias,identifier_location,paper_count,PMIDs
TGFBR2,TGFBR2,paragraph,31,"21698135, 22912877, 24940037, 25053872, 25205403, 26040324, 27175573, 27246988, 27378305, 28679693, 28944238, 29802153, 30461200, 31534460, 31569402, 32431097, 32597575, 32848728, 33719213, 34010604, 34281165, 34680857, 34906513, 35128805, 36569843, 36672844, 36790797, 38234087, 38491064, 40442321, 40489498"
TGFBR2,TGFBR2,table,12,"16757574, 18612427, 21360310, 24612714, 27175573, 28426742, 31059025, 31285644, 31867128, 33195419, 34722540, 38151761"
TMEM127,TMEM127,paragraph,2,"29909963, 37435466"
TMEM127,TMEM127,table,1,29909963
TMEM43,TMEM43,paragraph,2,"30985088, 38473809"
TMEM43,TMEM43,table,2,"24213376, 38610600"
TNNC1,TNNC1,paragraph,6,"26815362, 32013205, 36148247, 37652022, 39669627, 40286359"
TNNC1,TNNC1,table,4,"23396983, 25938587, 28797094, 35877578"
TNNI3,TNNI3,paragraph,9,"22830024, 27148590, 31455664, 32492895, 37498360, 37652022, 39669627, 40286359, 40565972"
TNNI3,TNNI3,table,5,"23396983, 27662471, 27841901, 28797094, 35877578"
TNNT2,TNNT2,paragraph,16,"26656454, 27148590, 32492895, 34766372, 36204818, 37498360, 37626566, 37652022, 38054088, 38473809, 38539233, 39480004, 39669619, 40197822, 40286359, 40565972"
TNNT2,TNNT2,table,9,"23396983, 24938736, 26207811, 27841901, 28293076, 28797094, 31781123, 32423033, 34722422"
TP53,TP53,abstract,1,41498535
TP53,TP53,fig_caption,1,39695169
TP53,TP53,paragraph,51,"32127641, 33401422, 33403820, 33883929, 34178628, 34421886, 34445220, 34711005, 34722257, 35047861, 35087827, 35246108, 35351459, 35512711, 35534462, 35608067, 35721196, 36060780, 36206742, 36525269, 36827971, 36881176, 37188824, 37427114, 37566048, 37650627, 38032680, 38132447, 38482213, 38734904, 39021553, 39022728, 39325855, 39404067, 39484053, 39484203, 39560203, 39687198, 39695169, 39743539, 39777438, 39804645, 39830995, 39854808, 40233741, 40333905, 40359938, 40474765, 40696762, 41398603, 41460200"
TP53,TP53,ref,1,36374405
TP53,TP53,table,15,"33803939, 34560882, 34722540, 35406801, 35677537, 36034941, 36556480, 36755123, 37370767, 37887281, 38906881, 39053449, 40317362, 41282893, 41379537"
TP53,TP53,table_foot,1,33649982
TPM1,TPM1,paragraph,9,"32013205, 32253828, 33719213, 35029218, 37498360, 37635785, 37652022, 38006208, 40565972"
TPM1,TPM1,table,4,"23396983, 27841901, 28797094, 32423033"
TRDN,TRDN,paragraph,8,"22422768, 22909776, 25637059, 31482657, 33692971, 34575879, 36269083, 39669627"
TRDN,TRDN,table,4,"24265543, 33924951, 34722422, 40535419"
TSC1,TSC1,paragraph,20,"20223027, 22917928, 23369289, 26703369, 29619247, 31799751, 32211034, 32383331, 32695431, 33821877, 33833339, 34475268, 34480426, 36342087, 36414972, 37152430, 38103548, 38265426, 39669237, 40562378"
TSC1,TSC1,table,4,"22355757, 22788692, 29909963, 35406801"
TSC2,TSC2,fig_caption,1,35388217
TSC2,TSC2,paragraph,17,"26703369, 31799751, 32211034, 32383331, 32555378, 32695431, 33821877, 34442399, 34475268, 34480426, 35885997, 36342087, 37152430, 38103548, 38265426, 40562378, 40628270"
TSC2,TSC2,table,1,39447548
TTN,TTN,paragraph,23,"33746696, 33820833, 34295493, 34363434, 34495297, 34863162, 35207515, 35512711, 35544069, 35586607, 37109540, 37301943, 37576110, 38392311, 38509709, 39198997, 39595119, 39669619, 40088892, 40286359, 40628270, 40662098, 41000626"
TTN,TTN,table,13,"33567613, 33643374, 34697318, 35187167, 35531197, 35877578, 36012532, 36034941, 37109540, 38011198, 38610600, 39053449, 39732776"
TTN,TTN,table_caption,1,37904256
TTR,TTR,abstract,1,31019999
TTR,TTR,paragraph,26,"16733547, 22989709, 25471118, 26134413, 26437390, 27652282, 28168209, 28272196, 29455155, 31018485, 31019999, 34440326, 34491937, 34668655, 35736224, 36186469, 36262809, 38399526, 39230471, 39669619, 39669627, 39963604, 40804349, 40998828, 41000626, 41621836"
TTR,TTR,ref,1,40804349
TTR,TTR,table,4,"22989709, 31710719, 32951025, 39433822"
VHL,VHL,paragraph,19,"20560986, 23369289, 24000165, 28503092, 31034483, 31564905, 32117777, 32821921, 33912852, 34390653, 34566400, 35323939, 36177683, 37435466, 37904209, 38465576, 40562378, 40628270, 42070091"
VHL,VHL,ref,1,33840388
VHL,VHL,table,5,"22761941, 22788692, 24612714, 33574476, 35406801"
VHL,VHL,table_foot,1,33649982
WT1,WT1,abstract,1,31013750
WT1,WT1,paragraph,32,"19417065, 19562370, 26420286, 27108798, 29618921, 30013592, 30690934, 30828567, 31013750, 31144478, 31337883, 32127641, 32214788, 32446308, 34009138, 34106634, 34566401, 34845858, 35894442, 36011342, 36105080, 36245711, 36743925, 37065748, 37296101, 37427114, 37728640, 37990078, 38069245, 40205738, 40481679, 41000626"
WT1,WT1,table,6,"17916572, 18631392, 30568172, 31795964, 33574476, 36316707"
