approved_symbol,alias,HGNC_ID,NCBI_Gene_ID,Ensembl_Gene_ID,OMIM_ID,candidate_papers,full_text_documents,papers_with_alias_gene_annotation,papers_with_identifier,percentage_with_identifier,NCBI Gene_paper_count,HGNC_paper_count,Ensembl_paper_count,OMIM_paper_count
RB1,RB1,HGNC:9884,5925,ENSG00000139687,614041,28805,23533,17480,54,0.30892448512585813,18,3,12,31
RBM20,RBM20,HGNC:27424,282996,ENSG00000203867,613171,1185,1019,862,8,0.9280742459396751,1,1,3,6
RET,RET,HGNC:9967,5979,ENSG00000165731,164761,9113,6594,4641,17,0.3663003663003663,2,1,2,12
RPE65,RPE65,HGNC:10294,6121,ENSG00000116745,180069,4311,3404,3076,45,1.4629388816644993,11,1,7,38
RYR1,RYR1,HGNC:10483,6261,ENSG00000196218,180901,5343,3684,3213,46,1.431683784624961,2,3,6,35
RYR2,RYR2,HGNC:10484,6262,ENSG00000198626,180902,8561,6666,6114,24,0.39254170755642787,0,1,10,13
SCN5A,SCN5A,HGNC:10593,6331,ENSG00000183873,600163,6462,4730,4212,47,1.1158594491927825,2,4,10,31
SDHAF2,SDHAF2,HGNC:26034,54949,ENSG00000167985,613019,988,856,724,5,0.6906077348066298,0,0,0,5
SDHB,SDHB,HGNC:10681,6390,ENSG00000117118,185470,7735,6296,4982,21,0.42151746286631875,0,1,2,18
SDHC,SDHC,HGNC:10682,6391,ENSG00000143252,602413,3648,2989,1987,11,0.5535983895319577,0,1,2,8
SDHD,SDHD,HGNC:10683,6392,ENSG00000204370,602690,3770,2949,2232,14,0.6272401433691757,1,0,2,11
SMAD3,SMAD3,HGNC:6769,4088,ENSG00000166949,603109,9878,7803,7447,17,0.22827984423257688,2,0,4,11
SMAD4,SMAD4,HGNC:6770,4089,ENSG00000141646,600993,10195,8934,8407,27,0.32116093731414297,0,1,6,20
STK11,STK11,HGNC:11389,6794,ENSG00000118046,602216,8824,7596,6893,36,0.5222689685187871,2,0,5,29
TGFBR1,TGFBR1,HGNC:11772,7046,ENSG00000106799,190181,7608,6747,5735,27,0.4707933740191805,1,1,6,19
TGFBR2,TGFBR2,HGNC:11773,7048,ENSG00000163513,190182,9506,8384,7306,42,0.5748699698877635,7,1,13,22
TMEM127,TMEM127,HGNC:26038,55654,ENSG00000135956,613403,839,717,606,2,0.33003300330033003,0,0,0,2
TMEM43,TMEM43,HGNC:28472,79188,ENSG00000170876,612048,783,712,581,4,0.6884681583476764,0,0,1,3
TNNC1,TNNC1,HGNC:11943,7134,ENSG00000114854,191040,1580,1449,1128,10,0.8865248226950354,0,0,4,6
TNNI3,TNNI3,HGNC:11947,7137,ENSG00000129991,191044,2435,2185,1896,14,0.7383966244725738,0,0,5,9
TNNT2,TNNT2,HGNC:11949,7139,ENSG00000118194,191045,4070,3630,3227,25,0.7747133560582584,0,2,9,14
TP53,TP53,HGNC:11998,7157,ENSG00000141510,191170,29015,19891,19521,69,0.35346549869371446,11,10,21,30
TPM1,TPM1,HGNC:12010,7168,ENSG00000140416,191010,4211,3807,2978,13,0.4365345869711216,1,0,4,8
TRDN,TRDN,HGNC:12261,10345,ENSG00000186439,603283,689,624,429,12,2.797202797202797,0,1,4,7
TSC1,TSC1,HGNC:12362,7248,ENSG00000165699,605284,12104,10050,7862,24,0.30526583566522514,1,0,3,20
TSC2,TSC2,HGNC:12363,7249,ENSG00000103197,191092,8637,6307,5743,19,0.3308375413546927,0,1,2,16
TTN,TTN,HGNC:12403,7273,ENSG00000155657,188840,4096,3139,2061,36,1.7467248908296944,0,4,13,20
TTR,TTR,HGNC:12405,7276,ENSG00000118271,176300,17820,12836,6370,29,0.4552590266875981,2,5,7,15
VHL,VHL,HGNC:12687,7428,ENSG00000134086,608537,20157,15222,11544,26,0.22522522522522523,2,1,5,19
WT1,WT1,HGNC:12796,7490,ENSG00000184937,607102,19769,15189,12725,38,0.29862475442043224,3,3,10,25
